n364336	NONHSAT002540.2
n364340	NONHSAT002921.2
n364378	NONHSAT006133.2
n364410	NONHSAT010774.2
n364507	NONHSAT070923.2
n364511	NA
n364518	NONHSAT068731.2
n364533	NONHSAT071665.2
n364544	NONHSAT074047.2
n364545	NONHSAT074043.2
n364548	NONHSAT075169.2
n364558	NONHSAT069135.2
n364570	NONHSAT072940.2
n364596	NONHSAT068818.2
n364685	NONHSAT071649.2
n364686	NONHSAT071670.2
n364729	NONHSAT074041.2
n364734	NA
n364760	NA
n364842	NONHSAT068742.2
n364975	NONHSAT073831.2
n365285	NONHSAT075423.2
n365315	NONHSAT076448.2
n365323	NONHSAT076730.2
n365366	NONHSAT068744.2
n365413	NONHSAT069545.2
n365451	NONHSAT070922.2
n365469	NONHSAT071267.2
n365489	NONHSAT072203.2
n365492	NA
n365543	NA
n365550	NONHSAT074784.2
n365664	NONHSAT069972.2
n365737	NONHSAT075859.2
n365837	NONHSAT075283.2
n365866	NONHSAT090919.2
n365880	NONHSAT093167.2
n365884	NONHSAT089609.2
n365920	NONHSAT087674.2
n365972	NONHSAT091421.2
n366279	NONHSAT091035.2
n366290	NONHSAT091419.2
n366331	NONHSAT092690.2
n366357	NONHSAT093296.2
n366395	NA
n366396	NONHSAT094227.2
n366554	NONHSAT094029.2
n366704	NONHSAT090755.2
n366714	NONHSAT091241.2
n366756	NONHSAT094669.2
n366788	NA
n366913	NONHSAT098765.2
n367049	NONHSAT098687.2
n367096	NONHSAT094568.2
n367124	NONHSAT095515.2
n367142	NONHSAT095885.2
n367143	NONHSAT095886.2
n367152	NONHSAT095954.2
n367182	NONHSAT096640.2
n367218	NONHSAT097990.2
n367363	NONHSAT097398.2
n367375	NONHSAT098032.2
n367417	NONHSAT099046.2
n367422	NONHSAT099241.2
n367426	NONHSAT099251.2
n367519	NONHSAT098766.2
n367640	NONHSAT101254.2
n367646	NONHSAT100290.2
n367650	NONHSAT100802.2
n367651	NONHSAT100800.2
n367661	NONHSAT104160.2
n367662	NONHSAT104496.2
n367663	NONHSAT104499.2
n367676	NONHSAT102752.2
n367774	NA
n367775	NA
n367848	NONHSAT100073.2
n367885	NONHSAT100950.2
n367887	NONHSAT101044.2
n367989	NONHSAT099958.2
n368044	NA
n368098	NONHSAT102285.2
n368106	NA
n368164	NONHSAT104294.2
n368267	NA
n368394	NONHSAT099965.2
n368395	NONHSAT099968.2
n368396	NONHSAT099969.2
n368397	NONHSAT099967.2
n368398	NONHSAT099973.2
n368443	NA
n368447	NONHSAT101833.2
n368511	NA
n368608	NONHSAT112472.2
n368610	NONHSAT113139.2
n368624	NONHSAT116113.2
n368627	NONHSAT106625.2
n368628	NONHSAT106655.2
n368637	NONHSAT108471.2
n368727	NONHSAT112475.2
n368759	NONHSAT114453.2
n368764	NONHSAT114823.2
n368786	NA
n369093	NONHSAT114452.2
n369186	NONHSAT107266.2
n369240	NONHSAT113306.2
n369243	NONHSAT113465.2
n369376	NONHSAT112474.2
n369419	NONHSAT115380.2
n369453	NONHSAT112122.2
n369469	NONHSAT113506.2
n369487	NONHSAT116014.2
n369504	NONHSAT124555.2
n369505	NA
n369512	NONHSAT119518.2
n369663	NONHSAT120204.2
n369699	NONHSAT122761.2
n369735	NONHSAT118801.2
n369769	NONHSAT120226.2
n369808	NONHSAT121455.2
n369876	NONHSAT124334.2
n369879	NONHSAT124335.2
n369881	NONHSAT124338.2
n369925	NONHSAT119372.2
n369955	NONHSAT120596.2
n369984	NONHSAT121795.2
n369995	NONHSAT122115.2
n369997	NONHSAT122118.2
n370008	NONHSAT123061.2
n370013	NA
n370058	NONHSAT120402.2
n370070	NONHSAT121121.2
n370090	NONHSAT123215.2
n370117	NA
n370126	NA
n370152	NONHSAT125546.2
n370153	NONHSAT126956.2
n370180	NONHSAT124770.2
n370204	NONHSAT129066.2
n370205	NONHSAT129073.2
n370290	NONHSAT126489.2
n370423	NA
n370452	NONHSAT126028.2
n370540	NONHSAT128189.2
n370542	NONHSAT128193.2
n370571	NONHSAT129021.2
n370574	NONHSAT129026.2
n370585	NONHSAT129553.2
n370618	NONHSAT125791.2
n370698	NONHSAT129020.2
n370709	NA
n370725	NONHSAT134602.2
n370849	NONHSAT132588.2
n370880	NONHSAT134894.2
n370923	NONHSAT130996.2
n370930	NONHSAT131189.2
n370995	NONHSAT133786.2
n371141	NONHSAT133697.2
n371176	NA
n371206	NONHSAT131125.2
n371225	NONHSAT133313.2
n371241	NONHSAT134601.2
n371273	NONHSAT133537.2
n371301	NONHSAT136839.2
n371342	NONHSAT137283.2
n371453	NONHSAT137326.2
n371524	NONHSAT138143.2
n371552	NONHSAT138016.2
n371587	NONHSAT139337.2
n371665	NA
n371667	NA
n371670	NA
n371672	NONHSAT015961.2
n371673	NONHSAT016414.2
n371680	NA
n371684	NONHSAT011260.2
n371761	NONHSAT012822.2
n371778	NONHSAT015135.2
n371814	NONHSAT017009.2
n371891	NONHSAT013940.2
n371907	NONHSAT015639.2
n371910	NONHSAT015792.2
n371912	NONHSAT015956.2
n371915	NONHSAT016234.2
n371934	NONHSAT017096.2
n371938	NA
n372019	NONHSAT013469.2
n372030	NONHSAT013885.2
n372080	NONHSAT016408.2
n372205	NA
n372291	NONHSAT013470.2
n372317	NONHSAT016378.2
n372336	NONHSAT017060.2
n372403	NONHSAT025227.2
n372462	NA
